cw,Date,INC#,Priority,DC#,Product,Duration(min),PRBNumber,Initial Causation,Final Causation,Causation Code,Sub Category,Customer Count,Comments,Repeat,Repeat INC,Related Tickets,Year,Month,Day,Quarter,Week,Weekday,Month_Name,days_since_incident,age_in_months,last_7_days,last_30_days,last_90_days,last_quarter,last_6_months,last_12_months,last_24_months,last_36_months,last_48_months,last_60_months,Date_parsed,Date_iso
48,2018-12-01,INC0381559,P1,DC15,BIZX,623,PRB0002290,Engineering,Engineering,Caused By Change,Subcategory not specified,0,Major Code Release | b1811 p4,0,No repeat INC specified,No related tickets,2018,12,1,4,48,Saturday,December,2551,83.80420499342969,0,0,0,0,0,0,0,0,0,0,2018-12-01,2018-12-01
48,2018-12-01,INC0382152,P1,DC02,BIZX,60,PRB0002289,Delivery Management,Engineering,Caused By Change,Subcategory not specified,0,Major Code Release | b1811 p4,0,No repeat INC specified,CHG0064107,2018,12,1,4,48,Saturday,December,2551,83.80420499342969,0,0,0,0,0,0,0,0,0,0,2018-12-01,2018-12-01
48,2018-12-01,INC0382524,P1,DC16,API,311,PRB0002291,Third Party Vendor,Cloud Operations,Patch/Code upgrade,Subcategory not specified,0,b1811 major code release,0,No repeat INC specified,T-Systems - C001701885,2018,12,1,4,48,Saturday,December,2551,83.80420499342969,0,0,0,0,0,0,0,0,0,0,2018-12-01,2018-12-01
48,2018-12-01,INC0382794,P1,DC02,BIZX,150,PRB0002292,Engineering,Engineering,Problematic Customer query,Subcategory not specified,0,Problem caused by customer id (riyadhinte),0,No repeat INC specified,"TIM-7512, PROV-107762",2018,12,1,4,48,Saturday,December,2551,83.80420499342969,0,0,0,0,0,0,0,0,0,0,2018-12-01,2018-12-01
5,2019-01-29,INC0452247,P1,DC10,LMS,14,PRB0002372,Engineering,Engineering,High Memory,LMS Engineering,1,High memory utilization,0,No repeat INC specified,LRN-51708,2019,1,29,1,5,Tuesday,January,2492,81.86596583442838,0,0,0,0,0,0,0,0,0,0,2019-01-29,2019-01-29
5,2019-02-01,INC0456380,P1,DC10,LMS,218,PRB0002395,Engineering,Engineering,Expensive SQL queries,Subcategory not specified,0,No comments provided,0,No repeat INC specified,LRN-52018,2019,2,1,1,5,Friday,February,2489,81.76741130091983,0,0,0,0,0,0,0,0,0,0,2019-02-01,2019-02-01
5,2019-02-01,INC0457418,P1,DC10,LMS,49,PRB0002395,Engineering,Engineering,Expensive SQL queries,Subcategory not specified,0,No comments provided,1,INC0456380,LRN-52018,2019,2,1,1,5,Friday,February,2489,81.76741130091983,0,0,0,0,0,0,0,0,0,0,2019-02-01,2019-02-01
5,2019-02-01,INC0457598,P1,DC10,LMS,16,PRB0002372,Engineering,Engineering,Expensive SQL queries,Subcategory not specified,0,No comments provided,0,No repeat INC specified,LRN-50892,2019,2,1,1,5,Friday,February,2489,81.76741130091983,0,0,0,0,0,0,0,0,0,0,2019-02-01,2019-02-01
5,2019-02-01,INC0457870,P1,DC08,LMS,11,PRB0002398,Engineering,Engineering,Expensive SQL queries,Subcategory not specified,0,No comments provided,0,No repeat INC specified,LRN-52051 / LRN-52123,2019,2,1,1,5,Friday,February,2489,81.76741130091983,0,0,0,0,0,0,0,0,0,0,2019-02-01,2019-02-01
5,2019-02-01,INC0458831,P1,DC12,LMS,56,PRB0002399,Delivery Management,Cloud Operations,Database Unresponsive,Subcategory not specified,0,No comments provided,0,No repeat INC specified,BCP 65137 / 2019,2019,2,1,1,5,Friday,February,2489,81.76741130091983,0,0,0,0,0,0,0,0,0,0,2019-02-01,2019-02-01
5,2019-02-02,INC0459356,P2,DC12,Payroll,35,PRB0002400,GCS,Cloud Operations,Configuration Issue,Subcategory not specified,0,No comments provided,0,No repeat INC specified,SPC# 1104504686�,2019,2,2,1,5,Saturday,February,2488,81.73455978975032,0,0,0,0,0,0,0,0,0,0,2019-02-02,2019-02-02
5,2019-02-03,INC0459814,P1,DC12,WFA,39,PRB0002401,Delivery Management,Cloud Operations,Configuration Changed,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,2,3,1,5,Sunday,February,2487,81.70170827858081,0,0,0,0,0,0,0,0,0,0,2019-02-03,2019-02-03
5,2019-02-03,INC0460070,P2,DC12,BIZX,99,PRB0002402,Delivery Management,Cloud Operations,Level 0 backup caused Outage,Subcategory not specified,0,No comments provided,0,No repeat INC specified,SPC #1104514148 & EMC# 13412128,2019,2,3,1,5,Sunday,February,2487,81.70170827858081,0,0,0,0,0,0,0,0,0,0,2019-02-03,2019-02-03
